# Thermodynamic and Transport Properties of Gases over the Temperature of O2, taken from the "Handbook of Thermal Plasma", 2023 edition (DOI: https://doi.org/10.1007/978-3-030-84936-8), By Boulos. Data are taken directly from table 5 (page 1862).
T(K),  Density (kg/m3),  Enthalpy (J/kg),  Spec heat (J/kg.K),  Viscosity (kg/m.s),  Therm cond (W/m.K),  Elec cond (S/m)
400, 9.622E-01, 3.631E+05, 9.061E+02, 2.566E-05, 3.168E-02, 3.493E-18
500, 7.697E-01, 4.539E+05, 9.110E+02, 3.018E-05, 3.726E-02, 3.621E-18
600, 6.414E-01, 5.452E+05, 9.146E+02, 3.428E-05, 4.234E-02, 3.712E-18
700, 5.498E-01, 6.371E+05, 9.290E+02, 3.807E-05, 4.733E-02, 3.784E-18
800, 4.811E-01, 7.318E+05, 9.669E+02, 4.164E-05, 5.270E-02, 3.845E-18
900, 4.276E-01, 8.307E+05, 1.010E+03, 4.501E-05, 5.835E-02, 3.900E-18
1000, 3.849E-01, 9.337E+05, 1.049E+03, 4.822E-05, 6.403E-02, 3.950E-18
1100, 3.499E-01, 1.040E+06, 1.079E+03, 5.149E-05, 6.980E-02, 4.000E-18
1200, 3.207E-01, 1.149E+06, 1.102E+03, 5.244E-05, 7.232E-02, 4.049E-18
1300, 2.961E-01, 1.261E+06, 1.120E+03, 5.249E-05, 7.344E-02, 4.517E-17
1400, 2.749E-01, 1.373E+06, 1.133E+03, 5.344E-05, 7.571E-02, 2.171E-15
1500, 2.566E-01, 1.487E+06, 1.144E+03, 5.584E-05, 8.020E-02, 6.239E-14
1600, 2.405E-01, 1.602E+06, 1.154E+03, 5.836E-05, 8.421E-02, 1.182E-12
1700, 2.264E-01, 1.718E+06, 1.163E+03, 6.085E-05, 8.879E-02, 1.586E-11
1800, 2.138E-01, 1.835E+06, 1.176E+03, 6.331E-05, 9.384E-02, 1.599E-10
1900, 2.025E-01, 1.953E+06, 1.194E+03, 6.572E-05, 9.987E-02, 1.265E-09
2000, 1.924E-01, 2.074E+06, 1.223E+03, 6.810E-05, 1.078E-01, 8.160E-09
